pemda,nama_pemda,jenis_pemda,risiko_defisit,risiko_mandatory_spending,risiko_keselarasan,cluster
BARU,KAB. KOTABARU,KOTA,105.64584522212692,6.874896124916699,21.234391263605968,1
WARINGIN BARAT,KAB. KOTAWARINGIN BARAT,KOTA,97.71178460278034,0.0,20.956102286502627,1
WARINGIN TIMUR,KAB. KOTAWARINGIN TIMUR,KOTA,103.37831937126687,8.975116430055254,21.030143355533596,1
KUANTAN SINGINGI,KAB. KUANTAN SINGINGI,KABUPATEN,101.68684824131171,6.958397805486925,24.81632532521325,1
KUBU RAYA,KAB. KUBU RAYA,KABUPATEN,108.17884046334045,8.640322751967599,21.86493934723206,1
KUDUS,KAB. KUDUS,KABUPATEN,0.0,0.0,26.440124401528877,1
KULON PROGO,KAB. KULON PROGO,KABUPATEN,100.50632550240253,8.92182612831968,26.14378594447134,4
KUNINGAN,KAB. KUNINGAN,KABUPATEN,99.18060488528741,11.449648964298156,27.08497367770812,4
KUPANG,KAB. KUPANG,KABUPATEN,105.76249287605945,9.84182576999012,24.350802075921543,4
KUTAI BARAT,KAB. KUTAI BARAT,KABUPATEN,99.6992065280968,6.156179090005974,15.000411327198105,1
KUTAI KARTANEGARA,KAB. KUTAI KARTANEGARA,KABUPATEN,110.49537107924334,5.3269766708071,19.87866991816994,1
KUTAI TIMUR,KAB. KUTAI TIMUR,KABUPATEN,99.83076317467913,6.860873195213646,18.55833269061985,1
LABUHANBATU,KAB. LABUHANBATU,KABUPATEN,101.61352704540118,6.810700161157821,22.595765612906753,1
LABUHANBATU SELATAN,KAB. LABUHANBATU SELATAN,KABUPATEN,104.3141775603343,10.296019802222494,22.592925872895812,1
LABUHANBATU UTARA,KAB. LABUHANBATU UTARA,KABUPATEN,101.38702071271366,0.0,26.685530463919047,2
LAHAT,KAB. LAHAT,KABUPATEN,104.66320992960824,0.0,21.281139334744733,1
LAMANDAU,KAB. LAMANDAU,KABUPATEN,114.45004169693817,8.559553601069208,20.554252737087573,1
LAMONGAN,KAB. LAMONGAN,KABUPATEN,104.73293217907451,8.205560975927897,19.008332928266103,1
LAMPUNG BARAT,KAB. LAMPUNG BARAT,KABUPATEN,107.4871508365703,9.31717145105592,21.998095235629467,1
LAMPUNG SELATAN,KAB. LAMPUNG SELATAN,KABUPATEN,102.66559367345354,7.695047167780256,22.036824560428112,1
LAMPUNG TENGAH,KAB. LAMPUNG TENGAH,KABUPATEN,104.6772324516166,9.456193578379889,25.286700671776877,4
LAMPUNG TIMUR,KAB. LAMPUNG TIMUR,KABUPATEN,106.92740008160911,6.637852552351372,22.30314416520855,1
LAMPUNG UTARA,KAB. LAMPUNG UTARA,KABUPATEN,106.9032792000423,6.2412925088014735,24.42008807864903,1
LANDAK,KAB. LANDAK,KABUPATEN,103.38664601505891,10.805801407670785,23.852937972721648,4
LANGKAT,KAB. LANGKAT,KABUPATEN,99.84251687272206,2.452685977071734,29.985754623714797,2
LANNY JAYA,KAB. LANNY JAYA,KABUPATEN,101.28199775097922,10.278061599901584,14.436543437522513,1
LEBAK,KAB. LEBAK,KABUPATEN,102.2582956230693,7.46480615527779,24.633947380260736,1
LEBONG,KAB. LEBONG,KABUPATEN,100.71629848360486,5.827014602713174,21.199861659201673,1
LEMBATA,KAB. LEMBATA,KABUPATEN,128.30848589900526,6.3927796443642535,17.688206373842668,0
LIMAPULUH,KAB. LIMAPULUH KOTA,KOTA,102.08180844246897,5.627396337557093,27.605356348986128,2
LINGGA,KAB. LINGGA,KABUPATEN,101.71856845044354,8.29131797712273,22.628359304140048,1
LOMBOK BARAT,KAB. LOMBOK BARAT,KABUPATEN,97.81588828374139,10.727497588885115,23.902592020443095,4
LOMBOK TENGAH,KAB. LOMBOK TENGAH,KABUPATEN,108.08081650612536,8.447708350674137,22.94768930638455,1
LOMBOK TIMUR,KAB. LOMBOK TIMUR,KABUPATEN,110.29979003867565,0.0,22.553163785397476,1
LOMBOK UTARA,KAB. LOMBOK UTARA,KABUPATEN,99.62052090071498,7.623093491162644,19.84273606167124,1
LUMAJANG,KAB. LUMAJANG,KABUPATEN,106.50537946218716,8.777014689868729,19.886982246462814,1
LUWU,KAB. LUWU,KABUPATEN,100.72970726023169,9.449492603324034,24.37858970571117,4
LUWU TIMUR,KAB. LUWU TIMUR,KABUPATEN,102.99788077779802,10.830184057215526,16.7846457556085,1
LUWU UTARA,KAB. LUWU UTARA,KABUPATEN,113.25749681256849,7.602114499914576,20.627604568892473,1
MADIUN,KAB. MADIUN,KABUPATEN,104.14762270302649,6.90231346835565,21.794787397821437,1
MAGELANG,KAB. MAGELANG,KABUPATEN,105.50918694121043,7.113055848821144,21.934237671288294,1
MAGETAN,KAB. MAGETAN,KABUPATEN,104.65685796611413,6.526634109850177,26.294086165602078,2
MAHAKAM ULU,KAB. MAHAKAM ULU,KABUPATEN,100.0,7.045185013899099,11.366064815412104,1
MAJALENGKA,KAB. MAJALENGKA,KABUPATEN,0.0,0.0,19.453718745571628,1
MAJENE,KAB. MAJENE,KABUPATEN,100.17555288939441,9.933510110567306,26.455471359598523,4
MALAKA,KAB. MALAKA,KABUPATEN,102.78494084484964,10.48358391070631,23.008352288871855,4
MALANG,KAB. MALANG,KABUPATEN,107.8431634698735,7.820287885658293,23.01087105516142,1
MALINAU,KAB. MALINAU,KABUPATEN,108.63712432312589,7.528760689359411,20.93702476097574,1
MALUKU BARAT DAYA,KAB. MALUKU BARAT DAYA,KABUPATEN,126.34133757115048,7.217030803156755,13.234003833812775,5
MALUKU TENGAH,KAB. MALUKU TENGAH,KABUPATEN,101.99724623816833,7.907216173091602,20.882453011059525,1
MALUKU TENGGARA,KAB. MALUKU TENGGARA,KABUPATEN,109.51301443852306,5.84414271428278,14.02657617901182,1
MAMASA,KAB. MAMASA,KABUPATEN,123.41350025099848,8.347267145454165,24.010750825098423,0
MAMBERAMO RAYA,KAB. MAMBERAMO RAYA,KABUPATEN,98.76743638808712,0.0,12.828736663750075,1
MAMBERAMO TENGAH,KAB. MAMBERAMO TENGAH,KABUPATEN,109.63025155293798,0.0,14.576214107076327,1
MAMUJU,KAB. MAMUJU,KABUPATEN,101.89257361902754,10.252155020792664,25.89014225698712,4
MAMUJU TENGAH,KAB. MAMUJU TENGAH,KABUPATEN,99.73023868084462,0.0,18.404372308686426,1
MAMUJU UTARA,KAB. MAMUJU UTARA,KABUPATEN,102.38811422862632,11.035475806759301,21.643748089764486,1
MANDAILING NATAL,KAB. MANDAILING NATAL,KABUPATEN,100.87085795673913,7.401692667954848,26.650096189782772,2
MANGGARAI,KAB. MANGGARAI,KABUPATEN,123.22917508005035,11.793629800050763,21.878549947392308,0
MANGGARAI BARAT,KAB. MANGGARAI BARAT,KABUPATEN,115.39378162069376,0.0,16.394425073504898,1
MANGGARAI TIMUR,KAB. MANGGARAI TIMUR,KABUPATEN,111.99547034428734,11.13282858895252,18.88484974301565,1
MANOKWARI,KAB. MANOKWARI,KABUPATEN,101.60430042663839,0.0,16.221036891968154,1
MANOKWARI SELATAN,KAB. MANOKWARI SELATAN,KABUPATEN,87.76757300898484,4.430808157319429,10.815408823247896,1
MAPPI,KAB. MAPPI,KABUPATEN,0.0,0.0,17.60521025795601,1
MAROS,KAB. MAROS,KABUPATEN,100.89123780183348,8.383935184560478,23.80698790431728,1
